,counterpress,location,match_id,out,pass_aerial_won,pass_angle,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outswinging,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,player,position,under_pressure,xA
8352,,"[86.0, 17.0]",3878597,,,0.9198604,Right Foot,True,,,"[102.3, 38.4]",,Low Pass,,26.900743,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,True,0.0005589776
8353,,"[85.0, 54.9]",3878597,,,-2.6583397,Right Foot,,,,"[74.9, 49.6]",,Ground Pass,,11.406138,,,,,,,,,Allan Marques Loureiro,Right Center Midfield,,6.9423195e-06
8354,,"[75.4, 47.8]",3878597,,,-1.316038,Right Foot,,,,"[77.9, 38.2]",,Ground Pass,,9.920181,,,,,,,,,Jorge Luiz Frello Filho,Center Defensive Midfield,,2.0672157e-06
8355,,"[77.9, 38.2]",3878597,,,2.1555417,Right Foot,,,,"[73.2, 45.3]",,Ground Pass,,8.514693,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,,4.020747e-06
8356,,"[73.2, 45.3]",3878597,,,-1.3475534,Right Foot,,,,"[81.6, 8.3]",,Ground Pass,,37.941532,,,,,,,,,Jorge Luiz Frello Filho,Center Defensive Midfield,,6.997936e-06
8357,,"[80.7, 4.2]",3878597,,,3.035436,Right Foot,,,True,"[68.5, 5.5]",,Ground Pass,,12.269067,,,,,,,,,Elseid Hysaj,Left Back,,9.435058e-06
8358,,"[65.9, 6.6]",3878597,,,2.1070921,Right Foot,,,,"[57.4, 20.9]",,Ground Pass,,16.635504,,,,,,,,,Marek Hamšík,Left Center Midfield,True,1.856164e-06
8359,,"[57.4, 20.9]",3878597,,,0.47689188,Right Foot,,,,"[69.4, 27.1]",,Ground Pass,,13.507035,,,,,,,,,Vlad Iulian Chiricheș,Left Center Back,,3.1079915e-05
8360,,"[68.9, 28.6]",3878597,,,2.6651251,Right Foot,,,,"[56.5, 35.0]",,Ground Pass,,13.954211,,,,,,,,,Jorge Luiz Frello Filho,Center Defensive Midfield,,4.3549833e-05
8361,,"[56.5, 35.0]",3878597,,,-0.7202402,Right Foot,,,,"[91.6, 4.2]",,High Pass,,46.69743,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,1.8557304e-05
8362,,"[93.3, 7.0]",3878597,,,1.4068671,Right Foot,,,,"[95.5, 20.3]",,Ground Pass,,13.480727,,,,,,,,,Marek Hamšík,Left Center Midfield,,0.004712023
8363,,"[95.5, 20.3]",3878597,,,0.4688969,Right Foot,,,,"[110.7, 28.0]",,Ground Pass,,17.039072,,,,True,,,,,Lorenzo Insigne,Center Attacking Midfield,,0.0005832799
8366,,"[13.3, 58.8]",3878597,,,-1.2639067,Right Foot,,,,"[17.8, 44.6]",,Ground Pass,,14.895972,,,,,,,,Free Kick,José Manuel Reina Páez,Goalkeeper,,4.3532873e-06
8367,,"[19.5, 47.6]",3878597,,,0.29600516,Right Foot,,,,"[33.6, 51.9]",,Ground Pass,,14.741099,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,4.3285645e-06
8368,,"[50.8, 43.1]",3878597,,,-0.5504998,Right Foot,,,,"[65.3, 34.2]",,Ground Pass,,17.013523,,,,,,,,,Jorge Luiz Frello Filho,Center Defensive Midfield,,1.6547466e-06
8369,,"[66.2, 34.4]",3878597,,,1.0631673,Right Foot,,,,"[75.1, 50.4]",,Ground Pass,,18.30874,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,,1.0985194e-06
8370,,"[93.3, 50.0]",3878597,,,0.65381,Right Foot,,,,"[108.7, 61.8]",,Ground Pass,,19.401031,,,,,,,,,Gonzalo Gerardo Higuaín,Left Center Forward,,7.865871e-05
8371,,"[108.7, 61.8]",3878597,,,-1.5323538,Right Foot,,,,"[108.9, 56.6]",,Low Pass,,5.2038445,,,,,,,,,Allan Marques Loureiro,Right Center Midfield,,0.00011382872
8372,,"[106.2, 38.6]",3878597,,,-2.5262532,Right Foot,,,,"[100.4, 34.5]",,High Pass,,7.102816,,,,True,,,,Recovery,Lorenzo Insigne,Center Attacking Midfield,,0.00034113988
8374,,"[53.5, 68.8]",3878597,,,-0.114363655,Right Foot,,,,"[68.3, 67.1]",,High Pass,,14.897315,,,,,,,,Recovery,Christian Maggio,Right Back,,4.184904e-06
8379,,"[42.6, 67.1]",3878597,,,-2.3968225,Right Foot,,,,"[29.8, 55.3]",,Ground Pass,,17.409193,,,,,,,,Recovery,Lorenzo Insigne,Center Attacking Midfield,,4.2567044e-06
8380,,"[33.2, 53.0]",3878597,,,-1.2647787,Right Foot,,,,"[44.1, 18.5]",,High Pass,,36.180935,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,2.5574357e-06
8381,,"[65.5, 5.1]",3878597,,,2.6447818,Right Foot,,,,"[57.2, 9.6]",,Ground Pass,,9.441399,,,,,,,,,Elseid Hysaj,Left Back,,1.4245602e-06
8382,,"[57.2, 9.6]",3878597,,,2.6627946,Right Foot,,,,"[44.1, 16.4]",,Ground Pass,,14.759743,,,,,,,,,Marek Hamšík,Left Center Midfield,,4.9026457e-05
8383,,"[43.1, 20.7]",3878597,,,1.7417724,Right Foot,,,,"[40.7, 34.6]",,Ground Pass,,14.105673,,,,,,,,,Vlad Iulian Chiricheș,Left Center Back,,4.304323e-06
8384,,"[40.5, 36.3]",3878597,,,0.108360484,Right Foot,,,,"[64.4, 38.9]",,Ground Pass,,24.041006,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,1.4561634e-06
8385,,"[64.4, 38.9]",3878597,,,1.9564388,Right Foot,,,,"[50.8, 72.4]",,High Pass,,36.155357,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,,1.1819366e-05
8386,,"[59.7, 70.7]",3878597,,,-0.13296872,Left Foot,,,,"[75.4, 68.6]",,Ground Pass,,15.839823,,,,,,,,,Christian Maggio,Right Back,,5.281143e-05
8387,,"[72.1, 63.7]",3878597,,,-0.57202953,Right Foot,,,,"[79.4, 59.0]",,Ground Pass,,8.682166,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,True,1.994568e-06
8388,,"[89.3, 73.7]",3878597,,,3.0892596,Left Foot,,,,"[68.3, 74.8]",,Ground Pass,,21.02879,,,,,,,,,Allan Marques Loureiro,Right Center Midfield,,3.611268e-05
8389,,"[68.7, 72.9]",3878597,,,-1.727587,Right Foot,,,,"[64.4, 45.7]",,Ground Pass,,27.537792,,,,,,,,,Christian Maggio,Right Back,,1.9163344e-06
8390,,"[64.0, 46.1]",3878597,,,1.1343529,Right Foot,,,,"[77.9, 75.9]",,Ground Pass,,32.882366,,,,,,,,,Marek Hamšík,Left Center Midfield,,4.8200127e-06
8391,,"[77.9, 75.9]",3878597,,,-1.730443,Right Foot,,,,"[76.0, 64.1]",,Ground Pass,,11.951987,,,,,,,,,Allan Marques Loureiro,Right Center Midfield,,6.405181e-06
8392,,"[76.0, 64.1]",3878597,,,-1.8207749,Right Foot,,,,"[73.6, 54.7]",,Ground Pass,,9.701547,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,,3.207649e-06
8393,,"[74.3, 55.8]",3878597,,,0.89974314,Right Foot,,,,"[90.1, 75.7]",,Ground Pass,,25.409643,,,,,,,,,Jorge Luiz Frello Filho,Center Defensive Midfield,,9.102706e-06
8394,,"[90.3, 73.7]",3878597,,,-3.0233963,Right Foot,,,,"[74.3, 71.8]",,Ground Pass,,16.112417,,,,,,,,,Christian Maggio,Right Back,,9.652246e-06
8395,,"[75.6, 65.6]",3878597,,,-1.366003,Right Foot,,,,"[88.0, 5.9]",,High Pass,,60.974174,,,,,True,,,,Allan Marques Loureiro,Right Center Midfield,,3.5267308e-06
8396,,"[88.0, 6.1]",3878597,,,1.0032941,Right Foot,True,,,"[104.0, 31.2]",,High Pass,,29.76592,,,,,,,,,Elseid Hysaj,Left Back,,9.9123135e-05
8404,,"[38.3, 66.0]",3878597,,,0.30876428,Right Foot,,,,"[49.9, 69.7]",,Ground Pass,,12.175796,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,,8.406133e-06
8405,,"[48.6, 70.3]",3878597,,,3.0017703,Right Foot,,,,"[35.1, 72.2]",,Low Pass,,13.633048,,,,,,,,,Gonzalo Gerardo Higuaín,Left Center Forward,,6.8734356e-05
8406,,"[39.0, 76.1]",3878597,,,-2.0771227,Left Foot,,,,"[26.8, 54.1]",,Ground Pass,,25.156311,,,,,,,,,Allan Marques Loureiro,Right Center Midfield,True,5.4230273e-05
8407,,"[25.9, 51.1]",3878597,,,-2.1121175,Right Foot,,,,"[16.1, 34.8]",,Ground Pass,,19.019201,,,,,,,,,Jorge Luiz Frello Filho,Center Defensive Midfield,,1.95521e-06
8408,,"[18.7, 34.8]",3878597,,,0.61409783,Right Foot,,,,"[32.6, 44.6]",,Ground Pass,,17.00735,,,,,,,,,Vlad Iulian Chiricheș,Left Center Back,,1.8690316e-06
8409,,"[32.6, 44.6]",3878597,,,3.0172377,Right Foot,,,,"[20.6, 46.1]",,Ground Pass,,12.093387,,,,,,,,,Marek Hamšík,Left Center Midfield,,0.00014215018
8410,,"[21.5, 46.1]",3878597,,,-1.0314254,Right Foot,,,,"[46.7, 4.0]",,High Pass,,49.065773,,,,,True,,,,Raúl Albiol i Tortajada,Right Center Back,,1.4383602e-06
8411,,"[49.9, 4.2]",3878597,,,2.2545056,Right Foot,,,,"[43.3, 12.3]",,Low Pass,,10.448445,,,,,,,,,Elseid Hysaj,Left Back,True,1.3286684e-06
8412,,"[56.1, 13.2]",3878597,,,0.27941388,Right Foot,,,,"[79.8, 20.0]",,Ground Pass,,24.656237,,,,,,,,,Jorge Luiz Frello Filho,Center Defensive Midfield,True,1.7637794e-05
8417,,"[6.0, 36.0]",3878597,,,0.75299656,Right Foot,,,,"[49.0, 76.3]",,High Pass,,58.932926,,,,,True,,,Goal Kick,José Manuel Reina Páez,Goalkeeper,,1.0133654e-05
8418,,"[49.0, 76.3]",3878597,,,-0.90082484,Head,,,,"[61.2, 60.9]",,High Pass,,19.646883,,,,,,,,,Christian Maggio,Right Back,,2.369082e-05
8420,,"[45.0, 49.3]",3878597,,,0.827797,Right Foot,,,,"[52.9, 57.9]",,Ground Pass,,11.677756,,,,,,,,Recovery,Jorge Luiz Frello Filho,Center Defensive Midfield,,2.7265328e-06
8421,,"[54.0, 57.9]",3878597,,,-0.40347937,Right Foot,,,,"[71.1, 50.6]",,Ground Pass,,18.59301,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,,1.9014742e-06
8422,,"[71.1, 50.6]",3878597,,,-2.1553977,Right Foot,,,,"[66.6, 43.8]",,Ground Pass,,8.15414,,,,,,,,,Dries Mertens,Right Center Forward,,2.478865e-06
8423,,"[66.6, 43.8]",3878597,,,0.19809732,Right Foot,,,,"[94.0, 49.3]",,Ground Pass,,27.946556,,,,,,,,,Jorge Luiz Frello Filho,Center Defensive Midfield,,2.2143936e-06
8426,,"[64.7, 47.6]",3878597,,True,-0.30288488,,,,,"[83.9, 41.6]",,High Pass,,20.115665,,,,,,,,Recovery,Raúl Albiol i Tortajada,Right Center Back,True,1.0762843e-06
8428,,"[65.5, 64.3]",3878597,,,2.9027615,Right Foot,,,,"[54.0, 67.1]",,Low Pass,,11.835962,,,,,,,,Recovery,Allan Marques Loureiro,Right Center Midfield,,7.869628e-06
8429,,"[53.5, 67.3]",3878597,,,-2.3632367,Right Foot,,,,"[39.2, 53.2]",,Ground Pass,,20.08233,,,,,,,,,Christian Maggio,Right Back,True,7.584268e-06
8430,,"[39.0, 53.2]",3878597,,,-2.8474593,Right Foot,,,,"[11.6, 44.9]",,Ground Pass,,28.62953,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,2.0905163e-06
8431,,"[11.6, 44.9]",3878597,,,0.271252,Right Foot,,,,"[28.5, 49.6]",,Ground Pass,,17.54138,,,,,,,,,José Manuel Reina Páez,Goalkeeper,,2.9793412e-06
8432,,"[28.5, 49.6]",3878597,,,-2.644831,Right Foot,,,,"[9.5, 39.3]",,Ground Pass,,21.612265,,,,,,,,,Jorge Luiz Frello Filho,Center Defensive Midfield,,1.7858797e-06
8433,,"[8.6, 39.9]",3878597,,,-1.1789852,Right Foot,,,,"[15.5, 23.2]",,Ground Pass,,18.069311,,,,,,,,,José Manuel Reina Páez,Goalkeeper,,4.6981536e-06
8434,,"[23.2, 8.5]",3878597,,,0.16384064,Left Foot,,,,"[48.0, 12.6]",,Ground Pass,,25.136627,,,,,,,,,Vlad Iulian Chiricheș,Left Center Back,True,3.6522708e-06
8435,,"[48.0, 12.6]",3878597,,,-3.0723963,Right Foot,,,,"[37.9, 11.9]",,High Pass,,10.1242285,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,,1.0941532e-06
8436,,"[37.9, 11.9]",3878597,,,0.51330554,Left Foot,,,,"[63.8, 26.5]",,Ground Pass,,29.731632,,,,,,,,,Marek Hamšík,Left Center Midfield,,9.2287246e-07
8437,,"[62.7, 32.9]",3878597,,,1.5371698,Right Foot,,,,"[63.8, 65.6]",,Ground Pass,,32.718494,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,True,8.905379e-06
8438,,"[80.9, 80.0]",3878597,,,-1.6317893,,,,,"[80.1, 66.9]",,High Pass,,13.124405,,,,,,,,Throw-in,Christian Maggio,Right Back,,9.134115e-06
8439,,"[80.1, 68.2]",3878597,,,2.0576956,Right Foot,,,,"[75.6, 76.7]",,Ground Pass,,9.617692,,,,,,,,,Jorge Luiz Frello Filho,Center Defensive Midfield,,4.136673e-06
8440,,"[74.9, 76.9]",3878597,,,-2.588828,Right Foot,,,,"[54.8, 64.5]",,Ground Pass,,23.617155,,,,,,,,,Christian Maggio,Right Back,True,7.500623e-06
8441,,"[54.0, 63.7]",3878597,,,-0.9673628,Right Foot,,,,"[64.2, 48.9]",,Ground Pass,,17.974426,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,1.08663935e-05
8442,,"[75.1, 62.2]",3878597,,,0.87535083,Right Foot,,,,"[86.7, 76.1]",,Ground Pass,,18.10442,,,,,,,,,Marek Hamšík,Left Center Midfield,,1.908625e-06
8443,,"[98.0, 76.3]",3878597,,,-1.7089076,Right Foot,,,,"[94.4, 50.4]",,Low Pass,,26.148996,,,,,,,,,Christian Maggio,Right Back,,0.00025727612
8444,,"[94.4, 50.4]",3878597,,,-0.7943265,Right Foot,,,,"[105.5, 39.1]",,High Pass,,15.839823,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,,0.0048672254
8446,,"[70.2, 61.1]",3878597,,,-2.2362063,Right Foot,,,,"[57.8, 45.3]",,Ground Pass,,20.08482,,,,,,,,,Vlad Iulian Chiricheș,Left Center Back,,2.1638589e-05
8447,,"[57.8, 45.3]",3878597,,,-1.5544044,Right Foot,,,,"[58.0, 33.1]",,Ground Pass,,12.201639,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,4.6813744e-05
8448,,"[58.0, 33.1]",3878597,,,-0.868178,Right Foot,,,,"[68.5, 20.7]",,Ground Pass,,16.248384,,,,,,,,,Jorge Luiz Frello Filho,Center Defensive Midfield,,7.764214e-05
8449,,"[69.2, 20.9]",3878597,,,0.29849893,Left Foot,,,,"[78.3, 23.7]",,Ground Pass,,9.521029,,,,,,,,,Marek Hamšík,Left Center Midfield,,1.4854842e-06
8450,,"[78.3, 24.3]",3878597,,,-2.7492526,Left Foot,,,,"[69.6, 20.7]",,Ground Pass,,9.415413,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,True,4.7049775e-06
8451,,"[70.4, 22.4]",3878597,,,1.4164776,Right Foot,,,,"[73.2, 40.4]",,Ground Pass,,18.216476,,,,,,,,,Marek Hamšík,Left Center Midfield,,4.4549242e-06
8452,,"[77.3, 37.2]",3878597,,,-0.31459078,Right Foot,,,,"[89.9, 33.1]",,Ground Pass,,13.250283,,,,,,,,,Allan Marques Loureiro,Right Center Midfield,,0.00012563582
8453,,"[89.9, 33.1]",3878597,,,1.5363272,Right Foot,,,,"[90.1, 38.9]",,Ground Pass,,5.8034472,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,,2.2799626e-05
8456,,"[55.7, 44.6]",3878597,,True,-0.3747219,,,,,"[79.6, 35.2]",,High Pass,,25.682095,,,,,,,,Recovery,Raúl Albiol i Tortajada,Right Center Back,True,1.4197278e-06
8465,,"[30.9, 49.1]",3878597,,,0.33029735,Left Foot,,,,"[37.9, 51.5]",,Ground Pass,,7.4,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,2.949341e-06
8466,,"[38.6, 53.0]",3878597,,,-1.5182133,Right Foot,,,,"[40.1, 24.5]",,Ground Pass,,28.539446,,,,,,,,,Allan Marques Loureiro,Right Center Midfield,True,3.649548e-06
8467,,"[40.1, 24.5]",3878597,,,0.08314123,Left Foot,,,,"[53.3, 25.6]",,Ground Pass,,13.245754,,,,,,,,,Marek Hamšík,Left Center Midfield,,3.512534e-05
8468,,"[54.6, 26.0]",3878597,,,-1.5348836,Right Foot,,,,"[55.2, 9.3]",,Ground Pass,,16.710775,,,,True,,,,,Dries Mertens,Right Center Forward,True,2.1450137e-06
8469,,"[83.3, 13.0]",3878597,,,-0.40554753,Right Foot,,,,"[101.7, 5.1]",,Ground Pass,,20.024235,,,,,,,,,Marek Hamšík,Left Center Midfield,,0.00012477895
8470,,"[101.7, 20.3]",3878597,,,1.0553254,Right Foot,,,,"[120.0, 52.6]",,Low Pass,,37.123848,,,,,,,,,Dries Mertens,Right Center Forward,,0.014436729
8484,,"[57.8, 58.1]",3878597,,,-2.4959033,Right Foot,,,,"[50.5, 52.6]",,Ground Pass,,9.140022,,,,,,,,Free Kick,Jorge Luiz Frello Filho,Center Defensive Midfield,,2.8886909e-05
8485,,"[50.5, 51.7]",3878597,,,-0.93647695,Right Foot,,,,"[64.7, 32.4]",,Ground Pass,,23.96101,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,3.5564697e-06
8486,,"[64.7, 32.4]",3878597,,,2.6325219,Right Foot,,,,"[56.1, 37.2]",,Ground Pass,,9.848858,,,,,,,,,Marek Hamšík,Left Center Midfield,,5.101811e-05
8487,,"[56.1, 35.4]",3878597,,,-2.3561945,Right Foot,,,,"[49.7, 29.0]",,Ground Pass,,9.050967,,,,,,,,,Jorge Luiz Frello Filho,Center Defensive Midfield,,2.625992e-05
8488,,"[51.4, 44.9]",3878597,,,0.6066051,Right Foot,,,,"[61.2, 51.7]",,Ground Pass,,11.928118,,,,,,,,,Vlad Iulian Chiricheș,Left Center Back,,2.2269256e-05
8489,,"[59.7, 53.0]",3878597,,,-2.9996955,Left Foot,,,,"[44.3, 50.8]",,Ground Pass,,15.556349,,,,,,,,,Allan Marques Loureiro,Right Center Midfield,True,0.00010718989
8490,,"[42.6, 52.8]",3878597,,,-1.2018603,Right Foot,,,,"[61.7, 3.4]",,High Pass,,52.963856,,,,,True,,,,Raúl Albiol i Tortajada,Right Center Back,,1.4383602e-06
8491,,"[61.9, 3.4]",3878597,,,2.078397,Left Foot,,,,"[52.5, 20.3]",,Ground Pass,,19.338305,,,,,,,,,Elseid Hysaj,Left Back,,1.3969134e-06
8492,,"[56.3, 23.0]",3878597,,,-0.11065722,Right Foot,,,,"[69.8, 21.5]",,Ground Pass,,13.583077,,,,,,,,,Vlad Iulian Chiricheș,Left Center Back,True,6.0235132e-05
8493,,"[69.8, 21.5]",3878597,,,-2.483704,Right Foot,,,,"[63.2, 16.4]",,Ground Pass,,8.340863,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,,3.667779e-06
8494,,"[63.2, 16.4]",3878597,,,-0.6207777,Right Foot,,,,"[81.1, 3.6]",,Ground Pass,,22.005682,,,,,,,,,Jorge Luiz Frello Filho,Center Defensive Midfield,,6.5831214e-06
8495,,"[87.1, 3.4]",3878597,,,1.9274164,Right Foot,,,,"[85.2, 8.5]",,Ground Pass,,5.4424257,,,,,,,,,Elseid Hysaj,Left Back,,2.3766513e-06
8496,,"[86.7, 13.4]",3878597,,,2.2565258,Right Foot,,,,"[74.1, 28.8]",,Ground Pass,,19.89774,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,True,9.252104e-07
8497,,"[74.3, 26.5]",3878597,,,-1.3943558,Right Foot,,,,"[76.6, 13.6]",,Ground Pass,,13.103435,,,,,,,,,Allan Marques Loureiro,Right Center Midfield,,1.4503962e-05
8498,,"[76.6, 14.1]",3878597,,,0.26625204,Right Foot,,,,"[86.5, 16.8]",,Ground Pass,,10.261579,,,,,,,,,Jorge Luiz Frello Filho,Center Defensive Midfield,,7.142631e-07
8499,,"[86.9, 16.0]",3878597,,,-1.0507822,Right Foot,,,,"[94.0, 3.6]",,Ground Pass,,14.288807,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,True,1.6252285e-05
8500,,"[94.0, 3.6]",3878597,,,0.25758833,Right Foot,,,,"[112.6, 8.5]",,Ground Pass,,19.234604,,,,,,,,,Elseid Hysaj,Left Back,,7.423669e-05
8513,,"[19.7, 72.7]",3878597,,,-1.7126933,Right Foot,,,,"[16.7, 51.7]",,Ground Pass,,21.213203,,,,,,,,Free Kick,José Manuel Reina Páez,Goalkeeper,,5.775923e-06
8514,,"[16.7, 51.7]",3878597,,,-0.07187597,Right Foot,,,,"[29.2, 50.8]",,Ground Pass,,12.532358,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,2.2383676e-05
8515,,"[29.2, 50.8]",3878597,,,1.3935709,Right Foot,,,,"[32.8, 70.9]",,Ground Pass,,20.419844,,,,,,,,,Jorge Luiz Frello Filho,Center Defensive Midfield,,2.978398e-06
8516,,"[33.6, 70.1]",3878597,,,0.32625502,Right Foot,,,,"[46.9, 74.6]",,Ground Pass,,14.040655,,,,,,,,,Christian Maggio,Right Back,,8.8573215e-06
8517,,"[47.3, 74.6]",3878597,,,-0.51414615,Right Foot,,,,"[90.5, 50.2]",,High Pass,,49.614513,,,,,,,,,José María Callejón Bueno,Right Wing,,3.5480105e-06
8520,,"[44.3, 56.0]",3878597,,,0.83868104,Right Foot,,,,"[51.4, 63.9]",,Ground Pass,,10.6216755,,,,,,,,Free Kick,Jorge Luiz Frello Filho,Center Defensive Midfield,,1.6123992e-06
8521,,"[62.5, 61.3]",3878597,,,-1.9655875,Right Foot,,,,"[58.5, 51.7]",,Ground Pass,,10.4,,,,,,,,,José María Callejón Bueno,Right Wing,,7.2578e-06
8522,,"[64.0, 43.4]",3878597,,,-1.4106086,Right Foot,,,,"[67.7, 20.5]",,Ground Pass,,23.196983,,,,,,,,,Jorge Luiz Frello Filho,Center Defensive Midfield,,2.522533e-06
8523,,"[68.5, 19.4]",3878597,,,-0.8710984,Left Foot,,,,"[81.8, 3.6]",,Ground Pass,,20.652603,,,,,,,,,Marek Hamšík,Left Center Midfield,,7.3097863e-06
8524,,"[101.0, 7.2]",3878597,,,1.6388727,Right Foot,,,,"[99.5, 29.2]",,Low Pass,,22.051077,,,,,,,,,Dries Mertens,Left Wing,,0.017004764
8527,,"[5.6, 8.7]",3878597,,,0.14618887,Right Foot,,,,"[21.9, 11.1]",,Ground Pass,,16.47574,,,,,,,,,José Manuel Reina Páez,Goalkeeper,,1.1022953e-06
8528,,"[28.1, 14.3]",3878597,,,-0.7291196,Right Foot,,,,"[35.6, 7.6]",,Ground Pass,,10.056838,,,,,,,,,Jorge Luiz Frello Filho,Center Defensive Midfield,,8.2509877e-07
8529,,"[35.6, 7.6]",3878597,,,-0.29988524,Right Foot,,,,"[50.8, 2.9]",,Ground Pass,,15.91006,,,,,,,,,Elseid Hysaj,Left Back,,1.6548603e-06
8530,,"[46.5, 5.5]",3878597,,,2.4931412,Right Foot,,,,"[30.4, 17.7]",,Ground Pass,,20.200247,,,,,,,,,Dries Mertens,Left Wing,,4.634796e-06
8531,,"[30.0, 22.2]",3878597,,,1.4301012,Right Foot,,,,"[36.6, 68.8]",,Ground Pass,,47.06506,,,,,True,,,,Vlad Iulian Chiricheș,Left Center Back,,4.9447685e-06
8532,,"[38.1, 70.3]",3878597,,,0.3573087,Right Foot,,,,"[53.1, 75.9]",,Ground Pass,,16.011246,,,,,,,,,Christian Maggio,Right Back,,1.4701392e-06
8533,,"[50.8, 75.9]",3878597,,,-3.0750246,Right Foot,,,,"[37.3, 75.0]",,Ground Pass,,13.529966,,,,,,,,,José María Callejón Bueno,Right Wing,,9.138097e-06
8534,,"[37.3, 75.0]",3878597,,,-1.9611627,Right Foot,,,,"[28.7, 54.1]",,Ground Pass,,22.600222,,,,,,,,,Christian Maggio,Right Back,,1.307527e-05
8535,,"[28.7, 54.1]",3878597,,,-0.6861988,Right Foot,,,,"[40.3, 44.6]",,Ground Pass,,14.993666,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,3.949083e-06
8536,,"[39.6, 40.6]",3878597,,,-1.1105734,Right Foot,,,,"[57.0, 5.5]",,High Pass,,39.17614,,,,,,,,,Jorge Luiz Frello Filho,Center Defensive Midfield,,2.4799624e-06
8537,,"[68.5, 2.9]",3878597,,,1.6183795,Right Foot,,,,"[68.1, 11.3]",,Ground Pass,,8.409518,,,,,,,,,Dries Mertens,Left Wing,,2.6810153e-06
8538,,"[65.7, 8.7]",3878597,,,-0.57469964,Left Foot,,,,"[76.2, 1.9]",,Ground Pass,,12.509596,,,,,,,,,Marek Hamšík,Left Center Midfield,True,6.7763754e-06
8539,,"[77.1, 2.9]",3878597,,,0.7437556,Left Foot,,,,"[84.6, 9.8]",,Ground Pass,,10.191173,,,,,,,,,Elseid Hysaj,Left Back,,9.058765e-07
8540,,"[84.6, 9.8]",3878597,,,-3.0148866,Left Foot,,,,"[68.9, 7.8]",,Low Pass,,15.826876,,,,,,,,,Dries Mertens,Left Wing,,6.287438e-06
8541,,"[70.0, 10.8]",3878597,,,1.2977107,Left Foot,,,,"[83.5, 59.0]",,High Pass,,50.05487,,,,,True,,,,Marek Hamšík,Left Center Midfield,,6.5817344e-06
8542,,"[88.0, 60.0]",3878597,,,-0.5362072,Right Foot,,,,"[105.5, 49.6]",,High Pass,,20.357063,,,,,,,,,José María Callejón Bueno,Right Wing,,0.01604299
8543,,"[76.2, 53.2]",3878597,,,-2.5570683,Right Foot,,,,"[62.9, 44.4]",,Ground Pass,,15.947727,,,,,,,,Recovery,Allan Marques Loureiro,Right Center Midfield,,6.9082475e-06
8544,,"[62.7, 43.6]",3878597,,,-0.96299434,Right Foot,,,,"[86.7, 9.1]",,High Pass,,42.026775,,,,,,,,,Vlad Iulian Chiricheș,Left Center Back,,7.506333e-06
8545,,"[89.0, 14.3]",3878597,,,0.8059324,Right Foot,True,,,"[120.0, 46.6]",,Low Pass,,44.7693,,,,,,,,,Dries Mertens,Left Wing,,0.0009402905
8547,,"[44.6, 39.5]",3878597,,True,1.5953815,,,,,"[44.3, 51.7]",,High Pass,,12.203688,,,,,,,,Recovery,Vlad Iulian Chiricheș,Left Center Back,True,7.7563614e-05
8548,,"[44.8, 51.1]",3878597,,,3.034095,Left Foot,,,,"[30.9, 52.6]",,Ground Pass,,13.980701,,,,,,,,,Jorge Luiz Frello Filho,Center Defensive Midfield,True,0.00021816861
8549,,"[31.5, 53.8]",3878597,,,-0.3515369,Right Foot,,,,"[63.4, 42.1]",,High Pass,,33.977936,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,True,8.388814e-07
8555,,"[30.0, 75.7]",3878597,,,-2.888517,Head,,,,"[24.2, 74.2]",,High Pass,,5.990826,,,,,,,,Recovery,José María Callejón Bueno,Right Wing,,4.500471e-06
