,location,out,player,position,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_one_on_one,shot_open_goal,shot_outcome,shot_technique,shot_type,under_pressure,shot_saved_to_post,shot_saved_off_target,xG,match_id
86276,"[107.7, 38.7]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[117.3, 41.0, 1.0]",True,,,Saved,Normal,Open Play,,,,0.0020592452,3879714
86277,"[113.1, 49.0]",,Lorenzo Insigne,Left Wing,,Right Foot,,"[120.0, 35.0, 2.4]",True,,,Off T,Half Volley,Open Play,True,,,0.0060079684,3879714
86278,"[89.2, 25.2]",,Lorenzo Insigne,Left Wing,,Right Foot,,"[120.0, 45.5, 7.2]",,,,Off T,Normal,Open Play,,,,0.0018525374,3879714
86279,"[111.7, 54.8]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[112.2, 54.0]",,True,,Blocked,Normal,Open Play,True,,,0.0029581222,3879714
86280,"[105.1, 26.6]",,Lorenzo Insigne,Left Wing,,Left Foot,,"[120.0, 36.9, 4.8]",True,,,Off T,Normal,Open Play,,,,0.003515844,3879714
86281,"[94.7, 47.4]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[116.7, 35.6]",True,,,Wayward,Lob,Open Play,,,,0.0033886961,3879714
86283,"[110.7, 39.3]",,Gonzalo Gerardo Higuaín,Center Forward,,Head,,"[120.0, 43.3, 0.7]",,,,Goal,Normal,Open Play,,,,0.9895504,3879714
86284,"[95.8, 36.0]",,Marek Hamšík,Left Center Midfield,,Right Foot,,"[99.2, 36.4]",True,,,Blocked,Normal,Open Play,,,,0.0015723904,3879714
86285,"[98.3, 34.0]",,Lorenzo Insigne,Left Wing,,Right Foot,,"[120.0, 36.9, 1.7]",,,,Goal,Normal,Free Kick,,,,0.95317596,3879714
86286,"[107.3, 51.2]",,Allan Marques Loureiro,Right Center Midfield,,Right Foot,,"[108.1, 50.7]",,,,Blocked,Normal,Open Play,,,,0.0011153298,3879714
86289,"[91.8, 36.7]",,Marek Hamšík,Left Center Midfield,,Right Foot,,"[95.4, 37.3]",,,,Blocked,Normal,Open Play,,,,0.0027385158,3879714
86290,"[111.3, 38.3]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[113.5, 38.8, 0.2]",True,,,Saved,Normal,Open Play,,,,0.0062583443,3879714
86292,"[93.3, 38.3]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[120.0, 44.7, 4.7]",,,,Off T,Normal,Open Play,,,,0.0017095795,3879714
86293,"[93.4, 40.9]",,Marek Hamšík,Left Center Midfield,,Right Foot,,"[120.0, 45.0, 1.6]",True,,,Off T,Half Volley,Open Play,,,,0.0019230354,3879714
86295,"[115.7, 44.9]",,José María Callejón Bueno,Right Wing,,Right Foot,,"[120.0, 42.4, 1.6]",True,,True,Goal,Half Volley,Open Play,,,,0.9788488,3879714
86298,"[111.9, 53.6]",,José María Callejón Bueno,Right Wing,,Right Foot,,"[120.0, 43.4, 0.2]",True,,,Goal,Half Volley,Open Play,,,,0.9811999,3879714
90383,"[103.2, 25.7]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[114.7, 35.4, 0.2]",,,,Saved,Normal,Open Play,,,,0.0013900872,3879720
90385,"[114.8, 33.1]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[117.9, 36.9, 0.5]",True,,,Saved,Normal,Open Play,,,,0.0072106314,3879720
90386,"[115.7, 34.0]",,Gonzalo Gerardo Higuaín,Center Forward,,Other,,"[120.0, 43.2, 0.5]",,,,Goal,Normal,Open Play,,,,0.9928946,3879720
90387,"[91.7, 38.7]",,David López Silva,Right Center Midfield,,Right Foot,,"[120.0, 49.1, 5.4]",True,,,Off T,Half Volley,Open Play,,,,0.0010593019,3879720
90388,"[100.9, 42.1]",,José María Callejón Bueno,Right Wing,,Right Foot,,"[120.0, 36.7, 1.4]",True,,,Goal,Lob,Open Play,,,,0.9008135,3879720
90391,"[110.5, 21.6]",,Gonzalo Gerardo Higuaín,Center Forward,,Left Foot,,"[120.0, 34.9, 5.4]",True,,,Off T,Half Volley,Open Play,True,,,0.0032688568,3879720
90392,"[55.4, 11.0]",True,Lorenzo Insigne,Left Wing,,Right Foot,,"[117.5, 80.0]",,,,Wayward,Normal,Open Play,,,,0.0014515505,3879720
90395,"[99.0, 28.4]",,Dries Mertens,Left Wing,,Right Foot,,"[120.0, 44.7, 4.5]",,,,Off T,Normal,Free Kick,,,,0.0020291382,3879720
90397,"[87.9, 37.3]",,Dries Mertens,Left Wing,,Right Foot,,"[120.0, 31.7, 0.2]",,,,Off T,Normal,Open Play,,,,0.0047061094,3879720
90398,"[106.0, 47.5]",,David López Silva,Right Center Midfield,,Right Foot,,"[110.8, 45.6]",True,,,Blocked,Normal,Open Play,,,,0.0010285705,3879720
90400,"[67.7, 77.4]",,José María Callejón Bueno,Right Wing,,Right Foot,,"[113.0, 41.5, 1.2]",True,,,Saved,Normal,Open Play,,,,0.001757008,3879720
93937,"[111.3, 25.5]",,Gonzalo Gerardo Higuaín,Center Forward,,Left Foot,,"[118.1, 36.5, 2.0]",,,,Saved,Normal,Open Play,,,,0.0024541367,3879731
93938,"[92.1, 35.6]",,Allan Marques Loureiro,Right Center Midfield,,Right Foot,,"[120.0, 43.8, 5.2]",,,,Off T,Normal,Open Play,,,,0.0016159675,3879731
